date,temp_mean,city
2023-11-20,9.9,London
2023-11-21,9.4,London
2023-11-22,6.9,London
2023-11-23,10.5,London
2023-11-24,7.0,London
2023-11-25,1.6,London
2023-11-26,3.4,London
2023-11-27,7.9,London
2023-11-28,3.8,London
2023-11-29,1.3,London
2023-11-30,0.1,London
2023-12-01,-0.0,London
2023-12-02,-2.4,London
2023-12-03,4.3,London
2023-12-04,6.5,London
2023-12-05,5.4,London
2023-12-06,2.5,London
2023-12-07,6.3,London
2023-12-08,8.0,London
2023-12-09,9.6,London
2023-12-10,9.3,London
2023-12-11,8.5,London
2023-12-12,9.2,London
2023-12-13,7.1,London
2023-12-14,4.6,London
2023-12-15,5.1,London
2023-12-16,8.6,London
2023-12-17,9.0,London
2023-12-18,9.9,London
2023-12-19,10.2,London
2023-12-20,7.7,London
2023-12-21,11.2,London
2023-12-22,10.0,London
2023-12-23,9.4,London
2023-12-24,12.4,London
2023-12-25,12.3,London
2023-12-26,7.2,London
2023-12-27,10.0,London
2023-12-28,10.7,London
2023-12-29,8.7,London
2023-12-30,8.9,London
2023-12-31,8.4,London
2023-01-01,8.9,New York
2023-01-02,7.8,New York
2023-01-03,9.4,New York
2023-01-04,13.0,New York
2023-01-05,9.9,New York
2023-01-06,6.1,New York
2023-01-07,3.6,New York
2023-01-08,1.3,New York
2023-01-09,3.0,New York
2023-01-10,2.6,New York
2023-01-11,0.9,New York
2023-01-12,5.2,New York
2023-01-13,9.2,New York
2023-01-14,0.9,New York
2023-01-15,0.6,New York
2023-01-16,1.5,New York
2023-01-17,2.4,New York
2023-01-18,6.6,New York
2023-01-19,3.9,New York
2023-01-20,5.3,New York
2023-01-21,2.7,New York
2023-01-22,1.3,New York
2023-01-23,2.4,New York
2023-01-24,2.2,New York
2023-01-25,2.1,New York
2023-01-26,7.4,New York
2023-01-27,2.1,New York
2023-01-28,4.3,New York
2023-01-29,5.5,New York
2023-01-30,6.0,New York
2023-01-31,3.3,New York
2023-02-01,-0.7,New York
2023-02-02,-0.3,New York
2023-02-03,-4.5,New York
2023-02-04,-9.7,New York
2023-02-05,1.3,New York
2023-02-06,4.1,New York
2023-02-07,0.3,New York
2023-02-08,4.7,New York
2023-02-09,4.6,New York
2023-02-10,11.1,New York
2023-02-11,3.6,New York
2023-02-12,2.7,New York
2023-02-13,6.5,New York
2023-02-14,6.2,New York
2023-02-15,10.1,New York
2023-02-16,12.6,New York
2023-02-17,9.6,New York
2023-02-18,0.8,New York
2023-02-19,3.9,New York
2023-02-20,8.9,New York
2023-02-21,4.3,New York
2023-02-22,2.4,New York
2023-02-23,4.5,New York
2023-02-24,3.8,New York
2023-02-25,-3.1,New York
2023-02-26,2.1,New York
2023-02-27,1.5,New York
2023-02-28,0.9,New York
2023-03-01,1.8,New York
2023-03-02,6.7,New York
2023-03-03,3.2,New York
2023-03-04,5.3,New York
2023-03-05,5.4,New York
2023-03-06,5.8,New York
2023-03-07,3.6,New York
2023-03-08,2.8,New York
2023-03-09,4.2,New York
2023-03-10,3.2,New York
2023-03-11,4.1,New York
2023-03-12,3.3,New York
2023-03-13,4.5,New York
2023-03-14,2.0,New York
2023-03-15,3.2,New York
2023-03-16,5.4,New York
2023-03-17,8.4,New York
2023-03-18,7.5,New York
2023-03-19,1.1,New York
2023-03-20,3.1,New York
2023-03-21,7.3,New York
2023-03-22,7.7,New York
2023-03-23,10.6,New York
2023-03-24,8.6,New York
2023-03-25,5.5,New York
2023-03-26,9.3,New York
2023-03-27,7.7,New York
2023-03-28,6.5,New York
2023-03-29,5.2,New York
2023-03-30,3.2,New York
2023-03-31,5.8,New York
2023-04-01,14.7,New York
2023-04-02,6.8,New York
2023-04-03,7.0,New York
2023-04-04,13.2,New York
2023-04-05,11.6,New York
2023-04-06,16.5,New York
2023-04-07,11.1,New York
2023-04-08,6.0,New York
2023-04-09,6.3,New York
2023-04-10,9.0,New York
2023-04-11,14.7,New York
2023-04-12,20.4,New York
2023-04-13,22.0,New York
2023-04-14,21.9,New York
2023-04-15,17.5,New York
2023-04-16,15.7,New York
2023-04-17,14.3,New York
2023-04-18,11.2,New York
2023-04-19,10.3,New York
2023-04-20,10.4,New York
2023-04-21,13.0,New York
2023-04-22,14.2,New York
2023-04-23,14.5,New York
2023-04-24,11.1,New York
2023-04-25,10.3,New York
2023-04-26,9.9,New York
2023-04-27,10.5,New York
2023-04-28,9.7,New York
2023-04-29,10.6,New York
2023-04-30,12.7,New York
2023-05-01,12.5,New York
2023-05-02,10.3,New York
2023-05-03,9.4,New York
2023-05-04,10.1,New York
2023-05-05,11.5,New York
2023-05-06,14.1,New York
2023-05-07,16.3,New York
2023-05-08,18.1,New York
2023-05-09,14.0,New York
2023-05-10,14.2,New York
2023-05-11,17.7,New York
2023-05-12,21.0,New York
2023-05-13,21.9,New York
2023-05-14,17.5,New York
2023-05-15,17.4,New York
2023-05-16,20.2,New York
2023-05-17,15.0,New York
2023-05-18,11.0,New York
2023-05-19,14.8,New York
2023-05-20,15.7,New York
2023-05-21,17.2,New York
2023-05-22,16.8,New York
2023-05-23,14.4,New York
2023-05-24,15.5,New York
2023-05-25,14.6,New York
2023-05-26,16.0,New York
2023-05-27,17.1,New York
2023-05-28,17.6,New York
2023-05-29,18.4,New York
2023-05-30,15.5,New York
